2022, 7.92, 8.83, 8.00, 7.97
2021, 2.52, 2.55, 4.70, 3.47
2020, 0.99, 0.48, 1.23, 1.92
2019, 1.74, 1.63, 1.81, 2.21
2018, 2.29, 1.74, 2.44, 2.44
2017, 2.56, 1.43, 2.13, 2.22
2016, 1.01, 0.18, 1.26, 1.60
2015, 0.37, -0.06, 0.12, 1.44
2014, 1.45, 0.20, 1.62, 2.35
2013, 2.29, 1.22, 1.46, 2.62
2012, 2.57, 2.66, 2.07, 3.73
2011, 3.86, 3.29, 3.16, 4.82
2010, 2.49, 1.53, 1.64, 3.35
2009, 1.96, 0.84, -0.36, 2.94
2008, 3.52, 4.16, 3.84, 8.95
2007, 2.39, 2.51, 2.85, 4.82
2006, 2.46, 2.67, 3.23, 4.28
2005, 2.09, 2.49, 3.39, 4.11
2004, 1.39, 2.29, 2.68, 3.38
2003, 1.38, 2.09, 2.27, 3.03
2002, 1.52, 2.42, 1.59, 2.83
2001, 1.53, 3.37, 2.83, 3.84
2000, 1.18, 3.15, 3.38, 3.49
1999, 1.75, 2.16, 2.19, 3.08
1998, 1.82, 2.42, 1.55, 5.11
1997, 2.20, 3.11, 2.34, 5.57
1996, 2.85, 3.56, 2.93, 6.55
1995, 2.70, 4.43, 2.81, 9.15
1994, 2.22, 4.72, 2.61, 10.32
1993, 2.56, 4.85, 2.95, 7.51
1992, 4.59, 6.22, 3.03, 7.71
1991, 7.46, 5.48, 4.23, 9.00
1990, 8.06, 6.15, 5.40, 8.13
1989, 5.76, 6.26, 4.83, 7.00
1988, 4.16, 4.54, 4.08, 7.15
1987, 4.15, 4.02, 3.66, 5.76
1986, 3.43, 3.68, 1.90, 5.82
1985, 6.07, 5.40, 3.55, 6.86
1984, 4.96, 7.67, 4.30, 8.12
1983, 4.61, 8.67, 3.21, 8.77
1982, 8.60, 9.58, 6.13, 10.24
1981, 11.88, 11.77, 10.33, 12.47
1980, 17.97, 12.91, 13.55, 13.98
1979, 13.42, 8.22, 11.25, n/a
1978,8.26, 7.76, 7.63, n/a
1977, 15.84, 9.77, 6.50, n/a
1976, 16.56, 9.35, 5.74, n/a
1975, 24.21, 10.47, 9.14, n/a
1974, 16.04, 13.16, 11.05, n/a
1973, 9.20, 7.75, 6.18, n/a
1972, 7.07, 6.01, 3.27, n/a
1971, 9.44, 5.24, 4.29, n/a
1970, 6.37, 4.51, 5.84, n/a
1969, 5.45, 2.67, 5.46, n/a
1968, 4.70, 3.24, 4.27, n/a
1967, 2.48, 3.32, 2.77, n/a
1966, 3.91, 3.70, 3.02, n/a
1965, 4.77, 3.99, 1.59, n/a
1964, 3.28, 3.42, 1.28, n/a
1963, 2.02, 2.92, 1.24, n/a
1962, 4.20, 3.55, 1.20, n/a
1961, 3.45, 2.08, 1.07, n/a
1960, 1.00, 1.74, 1.46, n/a
2022, 6.59, 8.83, 8.00, 7.97
2021, 2.86, 2.55, 4.70, 3.47
2020, 0.85, 0.48, 1.23, 1.92
2019, 1.61, 1.63, 1.81, 2.21
2018, 1.91, 1.74, 2.44, 2.44
2017, 1.95, 1.43, 2.13, 2.22
2016, 1.28, 0.18, 1.26, 1.60
2015, 1.51, -0.06, 0.12, 1.44
2014, 2.49, 0.20, 1.62, 2.35
2013, 2.45, 1.22, 1.46, 2.62
2012, 1.76, 2.66, 2.07, 3.73
2011, 3.30, 3.29, 3.16, 4.82
2010, 2.92, 1.53, 1.64, 3.35
2009, 1.77, 0.84, -0.36, 2.94
2008, 4.35, 4.16, 3.84, 8.95
2007, 2.33, 2.51, 2.85, 4.82
2006, 3.56, 2.67, 3.23, 4.28
2005, 2.69, 2.49, 3.39, 4.11
2004, 2.34, 2.29, 2.68, 3.38
2003, 2.73, 2.09, 2.27, 3.03
2002, 2.98, 2.42, 1.59, 2.83
2001, 4.41, 3.37, 2.83, 3.84
2000, 4.46, 3.15, 3.38, 3.49
1999, 1.48, 2.16, 2.19, 3.08
1998, 0.86, 2.42, 1.55, 5.11
1997, 0.22, 3.11, 2.34, 5.57
1996, 2.62, 3.56, 2.93, 6.55
1995, 4.63, 4.43, 2.81, 9.15
1994, 1.97, 4.72, 2.61, 10.32
1993, 1.75, 4.85, 2.95, 7.51
1992, 1.01, 6.22, 3.03, 7.71
1991, 3.18, 5.48, 4.23, 9.00
1990, 7.33, 6.15, 5.40, 8.13
1989, 7.53, 6.26, 4.83, 7.00
1988, 7.22, 4.54, 4.08, 7.15
1987, 8.53, 4.02, 3.66, 5.76
1986, 9.05, 3.68, 1.90, 5.82
1985, 6.73, 5.40, 3.55, 6.86
1984, 3.96, 7.67, 4.30, 8.12
1983, 10.04, 8.67, 3.21, 8.77
1982, 11.35, 9.58, 6.13, 10.24
1981, 9.49, 11.77, 10.33, 12.47
1980, 10.14, 12.91, 13.55, 13.98
1979, 9.12, 8.22, 11.25, n/a
1978, 8.00, 7.76, 7.63, n/a
1977, 12.31, 9.77, 6.50, n/a
1976, 13.32, 9.35, 5.74, n/a
1975, 15.16, 10.47, 9.14, n/a
1974, 15.42, 13.16, 11.05, n/a
1973, 9.09, 7.75, 6.18, n/a
1972, 6.02, 6.01, 3.27, n/a
1971, 6.14, 5.24, 4.29, n/a
1970, 3.44, 4.51, 5.84, n/a
1969, 3.28, 2.67, 5.46, n/a
1968, 2.52, 3.24, 4.27, n/a
1967, 3.48, 3.32, 2.77, n/a
1966, 3.29, 3.70, 3.02, n/a
1965, 3.41, 3.99, 1.59, n/a
1964, 2.87, 3.42, 1.28, n/a
1963, 0.64, 2.92, 1.24, n/a
1962, -0.32, 3.55, 1.20, n/a
1961, 2.29, 2.08, 1.07, n/a
1960, 3.73, 1.74, 1.46, n/a
